Registro de Monitoreo UCI/UCE - Protocolo NCC MERP

2025-04-01 16:52:28 | Estado: VALIDA | Movimiento: 0.20 G | Frecuencia cardiaca: 74 bpm
2025-04-01 16:52:29 | Estado: NO VALIDA | Movimiento: 0.85 G | ALERTAS: Afectado por movimiento - Lectura invalidada
2025-04-01 16:52:30 | Estado: NO VALIDA | Movimiento: 0.56 G | ALERTAS: Afectado por movimiento - Lectura invalidada
2025-04-01 16:52:31 | Estado: NO VALIDA | Movimiento: 0.93 G | ALERTAS: Afectado por movimiento - Lectura invalidada
2025-04-01 16:52:32 | Estado: VALIDA | Movimiento: 0.38 G | Frecuencia cardiaca: 69 bpm
2025-04-01 16:52:33 | Estado: VALIDA | Movimiento: 0.47 G | Frecuencia cardiaca: 104 bpm | ALERTAS: Taquicardia alarmante: 104 bpm
2025-04-01 16:52:34 | Estado: NO VALIDA | Movimiento: 0.61 G | ALERTAS: Afectado por movimiento - Lectura invalidada
2025-04-01 16:52:35 | Estado: VALIDA | Movimiento: 0.04 G | Frecuencia cardiaca: 93 bpm
2025-04-01 16:52:36 | Estado: NO VALIDA | Movimiento: 0.83 G | ALERTAS: Afectado por movimiento - Lectura invalidada
2025-04-01 16:52:37 | Estado: VALIDA | Movimiento: 0.24 G | Frecuencia cardiaca: 67 bpm
2025-04-01 16:52:38 | Estado: VALIDA | Movimiento: 0.06 G | Frecuencia cardiaca: 79 bpm
2025-04-01 16:52:39 | Estado: VALIDA | Movimiento: 0.29 G | Frecuencia cardiaca: 74 bpm
2025-04-01 16:52:40 | Estado: NO VALIDA | Movimiento: 0.53 G | ALERTAS: Afectado por movimiento - Lectura invalidada
2025-04-01 16:52:41 | Estado: VALIDA | Movimiento: 0.11 G | Frecuencia cardiaca: 71 bpm
2025-04-01 16:52:42 | Estado: VALIDA | Movimiento: 0.32 G | Frecuencia cardiaca: 58 bpm | ALERTAS: Bradicardia crítica: 58 bpm
2025-04-01 16:52:43 | Estado: VALIDA | Movimiento: 0.38 G | Frecuencia cardiaca: 100 bpm
2025-04-01 16:52:44 | Estado: VALIDA | Movimiento: 0.04 G | Frecuencia cardiaca: 87 bpm
2025-04-01 16:52:45 | Estado: VALIDA | Movimiento: 0.09 G | Frecuencia cardiaca: 97 bpm
2025-04-01 16:52:46 | Estado: VALIDA | Movimiento: 0.03 G | Frecuencia cardiaca: 73 bpm
2025-04-01 16:52:47 | Estado: NO VALIDA | Movimiento: 0.73 G | ALERTAS: Afectado por movimiento - Lectura invalidada
2025-04-01 16:52:48 | Estado: NO VALIDA | Movimiento: 0.89 G | ALERTAS: Afectado por movimiento - Lectura invalidada
2025-04-01 16:52:49 | Estado: VALIDA | Movimiento: 0.45 G | Frecuencia cardiaca: 69 bpm
2025-04-01 16:52:50 | Estado: VALIDA | Movimiento: 0.27 G | Frecuencia cardiaca: 79 bpm
2025-04-01 16:52:51 | Estado: NO VALIDA | Movimiento: 0.90 G | ALERTAS: Afectado por movimiento - Lectura invalidada
2025-04-01 16:52:52 | Estado: VALIDA | Movimiento: 0.00 G | Frecuencia cardiaca: 82 bpm
